
------------ Options -------------
batch_size: 1
beta1: 0.9
beta2: 0.999
channels: 1
checkpoints_path: ../missed
cuda: True
dataset_path: /home/nitish/Desktop/ninad/data/
debug: True
ensemble: 1
epochs: 30
gpu_ids: 0
log_interval: 50
lr: 0.001
network: 1
no_cuda: False
patch_stride: 256
seed: 1
test_batch_size: 32
testset_path: 
tid: missed
-------------- End ----------------

Start training patch-wise network: 2019/06/21 15:14

/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/models.py:26: UserWarning: 
This call to matplotlib.use() has no effect because the backend has already
been chosen; matplotlib.use() must be called *before* pylab, matplotlib.pyplot,
or matplotlib.backends is imported for the first time.

The backend was *originally* set to 'TkAgg' by the following code:
  File "train.py", line 2, in <module>
    from src import *
  File "/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/__init__.py", line 1, in <module>
    from .models import *
  File "/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/models.py", line 8, in <module>
    import matplotlib.pyplot as plt
  File "/home/nitish/anaconda3/envs/pytorch_gpu/lib/python3.6/site-packages/matplotlib/pyplot.py", line 71, in <module>
    from matplotlib.backends import pylab_setup
  File "/home/nitish/anaconda3/envs/pytorch_gpu/lib/python3.6/site-packages/matplotlib/backends/__init__.py", line 17, in <module>
    line for line in traceback.format_stack()


  mpl.use('Agg')
Epoch: 1/30 [10350/267680 (4%)]	Loss: 3.499168, Accuracy: 60.00%
Epoch: 1/30 [10400/267680 (4%)]	Loss: 1.000447, Accuracy: 60.00%
Epoch: 1/30 [10450/267680 (4%)]	Loss: 0.557221, Accuracy: 60.00%
Epoch: 1/30 [10500/267680 (4%)]	Loss: 0.080079, Accuracy: 60.00%
Epoch: 1/30 [10550/267680 (4%)]	Loss: 0.000773, Accuracy: 60.00%
Epoch: 1/30 [10600/267680 (4%)]	Loss: 3.466197, Accuracy: 60.00%
Epoch: 1/30 [10650/267680 (4%)]	Loss: 0.321350, Accuracy: 60.00%
Epoch: 1/30 [10700/267680 (4%)]	Loss: 1.479508, Accuracy: 60.00%
Epoch: 1/30 [10750/267680 (4%)]	Loss: 0.892310, Accuracy: 60.00%
Epoch: 1/30 [10800/267680 (4%)]	Loss: 0.038580, Accuracy: 60.00%
Epoch: 1/30 [10850/267680 (4%)]	Loss: 0.088983, Accuracy: 61.00%

Evaluating....
P4035614.JPG	round	grape	 val
P4035614.JPG	round	grape	 val
P4035614.JPG	round	grape	 val
P4035614.JPG	stellate	grape	 val
P4035614.JPG	round	grape	 val
P4035614.JPG	round	grape	 val
P4035614.JPG	stellate	grape	 val
P4035614.JPG	round	grape	 val
P4035614.JPG	stellate	grape	 val
P4035614.JPG	stellate	grape	 val
